Source,Target
hCoV-19/Canada/NB-218/2020|EPI_ISL_479634|2020-03-25,hCoV-19/Canada/NB-216/2020|EPI_ISL_479632|2020-03-30
hCoV-19/Canada/NB-216/2020|EPI_ISL_479632|2020-03-30,hCoV-19/Canada/NB_274/2020|EPI_ISL_481757|2020-04-11
hCoV-19/Canada/NB-231/2020|EPI_ISL_479644|2020-03-24,hCoV-19/Canada/NB-218/2020|EPI_ISL_479634|2020-03-25
1239,hCoV-19/Canada/NB-231/2020|EPI_ISL_479644|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00236426/2020|EPI_ISL_536129|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00234905/2020|EPI_ISL_536080|2020-03-24
1461,hCoV-19/Canada/QC-LSPQ-L00236426/2020|EPI_ISL_536129|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00236426/2020|EPI_ISL_536129|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00235552/2020|EPI_ISL_536099|2020-03-24
1469,hCoV-19/Canada/QC-LSPQ-L00224812/2020|EPI_ISL_535824|2020-03-17
1096,hCoV-19/Canada/QC-LSPQ-L00233835/2020|EPI_ISL_536041|2020-03-23
1096,hCoV-19/Canada/QC-LSPQ-L00239296/2020|EPI_ISL_536243|2020-03-26
1096,hCoV-19/Canada/QC-LSPQ-L00234872/2020|EPI_ISL_536075|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00239194/2020|EPI_ISL_536237|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00234676/2020|EPI_ISL_536068|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00239194/2020|EPI_ISL_536237|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00238922/2020|EPI_ISL_536228|2020-03-26
1456,hCoV-19/Canada/QC-LSPQ-L00239194/2020|EPI_ISL_536237|2020-03-26
1028,hCoV-19/Canada/NB_263/2020|EPI_ISL_481753|2020-04-06
hCoV-19/Canada/QC-LSPQ-L00231415/2020|EPI_ISL_535954|2020-03-22,hCoV-19/Canada/NB_270/2020|EPI_ISL_481755|2020-04-10
1186,hCoV-19/Canada/QC-LSPQ-L00231415/2020|EPI_ISL_535954|2020-03-22
1481,hCoV-19/Canada/QC-LSPQ-L00217574/2020|EPI_ISL_535765|2020-03-13
hCoV-19/Canada/QC-LSPQ-L00234871/2020|EPI_ISL_536074|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00234397/2020|EPI_ISL_536053|2020-03-23
1196,hCoV-19/Canada/QC-LSPQ-L00234790/2020|EPI_ISL_536070|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00217574/2020|EPI_ISL_535765|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00234871/2020|EPI_ISL_536074|2020-03-23
1359,hCoV-19/Canada/QC-LSPQ-L00229727/2020|EPI_ISL_535901|2020-03-20
hCoV-19/Canada/QC-LSPQ-L00229727/2020|EPI_ISL_535901|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00231805/2020|EPI_ISL_535963|2020-03-20
1240,hCoV-19/Canada/QC-LSPQ-L00233063/2020|EPI_ISL_536008|2020-03-22
1240,hCoV-19/Canada/QC-LSPQ-L00236653/2020|EPI_ISL_536145|2020-03-25
1453,hCoV-19/Canada/QC-LSPQ-L00218475/2020|EPI_ISL_535782|2020-03-14
1250,hCoV-19/Canada/QC-LSPQ-L00229671/2020|EPI_ISL_535899|2020-03-20
1223,hCoV-19/Canada/QC-LSPQ-L00225894/2020|EPI_ISL_535839|2020-03-17
hCoV-19/Canada/QC-LSPQ-L00227094/2020|EPI_ISL_535857|2020-03-18,hCoV-19/Canada/QC-LSPQ-L00229929/2020|EPI_ISL_535905|2020-03-19
1354,hCoV-19/Canada/QC-LSPQ-L00227094/2020|EPI_ISL_535857|2020-03-18
hCoV-19/Canada/QC-LSPQ-L00232148/2020|EPI_ISL_535980|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00232070/2020|EPI_ISL_535972|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00235380/2020|EPI_ISL_536096|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00232148/2020|EPI_ISL_535980|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00242033/2020|EPI_ISL_536305|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00235380/2020|EPI_ISL_536096|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00242033/2020|EPI_ISL_536305|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00238803/2020|EPI_ISL_536220|2020-03-26
1040,hCoV-19/Canada/QC-LSPQ-L00239255/2020|EPI_ISL_536241|2020-03-26
hCoV-19/Canada/Qc-L00241026/2020|EPI_ISL_450309|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00242033/2020|EPI_ISL_536305|2020-03-28
hCoV-19/Canada/QC-LSPQ-L00242033/2020|EPI_ISL_536305|2020-03-28,hCoV-19/Canada/QC_AI9/2020|EPI_ISL_463918|2020-04-07
hCoV-19/Canada/Qc-L00241026/2020|EPI_ISL_450309|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00232073/2020|EPI_ISL_535973|2020-03-22
1221,hCoV-19/Canada/Qc-L00241026/2020|EPI_ISL_450309|2020-03-27
hCoV-19/Canada/Qc-L00241026/2020|EPI_ISL_450309|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00235378/2020|EPI_ISL_536095|2020-03-24
1459,hCoV-19/Canada/QC-LSPQ-L00235261/2020|EPI_ISL_536092|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00239402/2020|EPI_ISL_536249|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00236573/2020|EPI_ISL_536138|2020-03-24
1458,hCoV-19/Canada/QC-LSPQ-L00239402/2020|EPI_ISL_536249|2020-03-24
1057,hCoV-19/Canada/QC-LSPQ-L00239991/2020|EPI_ISL_536260|2020-03-25
1177,hCoV-19/Canada/ON-OICR-SLB2796/2020|EPI_ISL_538328|2020-03-28
hCoV-19/Canada/QC-LSPQ-L00218472/2020|EPI_ISL_535781|2020-03-14,hCoV-19/Canada/ON_MU-S306/2020|EPI_ISL_463979|2020-03-28
hCoV-19/Canada/ON_MU-S306/2020|EPI_ISL_463979|2020-03-28,hCoV-19/Canada/QC-LSPQ-L00230666/2020|EPI_ISL_535927|2020-03-21
1483,hCoV-19/Canada/QC-LSPQ-L00218472/2020|EPI_ISL_535781|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00244338/2020|EPI_ISL_536393|2020-03-31,hCoV-19/Canada/ON-UHTC_0047/2020|EPI_ISL_464012|2020-04-02
hCoV-19/Canada/QC-LSPQ-L00230637/2020|EPI_ISL_535925|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00244338/2020|EPI_ISL_536393|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00244338/2020|EPI_ISL_536393|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00243222/2020|EPI_ISL_536350|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00230647/2020|EPI_ISL_535926|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00230637/2020|EPI_ISL_535925|2020-03-21
1208,hCoV-19/Canada/ON_MU-S218/2020|EPI_ISL_463974|2020-03-26
hCoV-19/Canada/QC-LSPQ-L00230647/2020|EPI_ISL_535926|2020-03-21,hCoV-19/Canada/QC-LSPQ-L00235866/2020|EPI_ISL_536113|2020-03-22
1228,hCoV-19/Canada/QC-LSPQ-L00242547/2020|EPI_ISL_536325|2020-03-29
hCoV-19/Canada/QC-LSPQ-L00237942/2020|EPI_ISL_536201|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00230647/2020|EPI_ISL_535926|2020-03-21
1173,hCoV-19/Canada/QC-LSPQ-L00228687/2020|EPI_ISL_535875|2020-03-20
hCoV-19/Canada/QC-LSPQ-L00228687/2020|EPI_ISL_535875|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00235295/2020|EPI_ISL_536094|2020-03-24
1352,hCoV-19/Canada/QC-LSPQ-L00219335/2020|EPI_ISL_535791|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00237942/2020|EPI_ISL_536201|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00231634/2020|EPI_ISL_535959|2020-03-21
1483,hCoV-19/Canada/QC-LSPQ-L00237942/2020|EPI_ISL_536201|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00234878/2020|EPI_ISL_536077|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00231779/2020|EPI_ISL_535962|2020-03-22
1143,hCoV-19/Canada/QC-LSPQ-L00234878/2020|EPI_ISL_536077|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00221391/2020|EPI_ISL_535808|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00218308/2020|EPI_ISL_535774|2020-03-14
1477,hCoV-19/Canada/QC-LSPQ-L00220546/2020|EPI_ISL_535799|2020-03-15
1324,hCoV-19/Canada/QC-LSPQ-L00220933/2020|EPI_ISL_535806|2020-03-15
1477,hCoV-19/Canada/QC-LSPQ-L00227658/2020|EPI_ISL_535865|2020-03-19
1434,hCoV-19/Canada/QC-LSPQ-L00219533/2020|EPI_ISL_535793|2020-03-15
1493,hCoV-19/Canada/QC-LSPQ-L00221391/2020|EPI_ISL_535808|2020-03-13
1409,hCoV-19/Canada/BC_7493713/2020|EPI_ISL_418844|2020-03-12
1064,hCoV-19/Canada/NB-206/2020|EPI_ISL_479627|2020-03-27
1043,hCoV-19/Canada/QC-LSPQ-L00234533/2020|EPI_ISL_536056|2020-03-23
1031,hCoV-19/Canada/QC-LSPQ-L00241444/2020|EPI_ISL_536282|2020-03-27
1133,hCoV-19/Canada/QC-LSPQ-L00232614/2020|EPI_ISL_535992|2020-03-22
1152,hCoV-19/Canada/Qc-L00241349/2020|EPI_ISL_465703|2020-03-27
1203,hCoV-19/Canada/QC-LSPQ-L00234537/2020|EPI_ISL_536057|2020-03-23
1064,hCoV-19/Canada/QC-LSPQ-L00237490/2020|EPI_ISL_536182|2020-03-25
1064,hCoV-19/Canada/QC-LSPQ-L00241439/2020|EPI_ISL_536281|2020-03-27
1213,hCoV-19/Canada/QC-LSPQ-L00241435/2020|EPI_ISL_536280|2020-03-27
1213,hCoV-19/Canada/QC-LSPQ-L00241648/2020|EPI_ISL_536286|2020-03-28
hCoV-19/Canada/NL_97/2020|EPI_ISL_469236|2020-03-22,hCoV-19/Canada/NL_95/2020|EPI_ISL_469234|2020-03-22
1278,hCoV-19/Canada/NL_97/2020|EPI_ISL_469236|2020-03-22
1158,hCoV-19/Canada/QC-LSPQ-L00233585/2020|EPI_ISL_536029|2020-03-23
1399,hCoV-19/Canada/QC-LSPQ-L00229363/2020|EPI_ISL_535891|2020-03-20
hCoV-19/Canada/Qc-L00240652/2020|EPI_ISL_450304|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00231156/2020|EPI_ISL_535945|2020-03-21
1399,hCoV-19/Canada/Qc-L00240652/2020|EPI_ISL_450304|2020-03-27
1401,hCoV-19/Canada/QC-LSPQ-L00239009/2020|EPI_ISL_536230|2020-03-22
1089,hCoV-19/Canada/QC-LSPQ-L00232187/2020|EPI_ISL_535981|2020-03-22
1127,hCoV-19/Canada/QC-LSPQ-L00232603/2020|EPI_ISL_535990|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00242505/2020|EPI_ISL_536323|2020-03-29,hCoV-19/Canada/QC-LSPQ-L00242487/2020|EPI_ISL_536322|2020-03-29
1249,hCoV-19/Canada/QC-LSPQ-L00242505/2020|EPI_ISL_536323|2020-03-29
1437,hCoV-19/Canada/QC-LSPQ-L00237312/2020|EPI_ISL_536173|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00217833/2020|EPI_ISL_535768|2020-03-13,hCoV-19/Canada/QC-LSPQ-L00217831/2020|EPI_ISL_535767|2020-03-13
1300,hCoV-19/Canada/QC-LSPQ-L00217833/2020|EPI_ISL_535768|2020-03-13
1294,hCoV-19/Canada/QC-LSPQ-L00220897/2020|EPI_ISL_535805|2020-03-14
hCoV-19/Canada/QC-LSPQ-L00220897/2020|EPI_ISL_535805|2020-03-14,hCoV-19/Canada/QC-LSPQ-L00228636/2020|EPI_ISL_535874|2020-03-20
hCoV-19/Canada/QC-LSPQ-L00228636/2020|EPI_ISL_535874|2020-03-20,hCoV-19/Canada/QC-LSPQ-L00233793/2020|EPI_ISL_536039|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/NB_1/2020|EPI_ISL_429806|2020-03-09
1302,hCoV-19/Canada/QC-LSPQ-L00215711/2020|EPI_ISL_535735|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/NB_21/2020|EPI_ISL_429811|2020-03-12
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00232080/2020|EPI_ISL_535974|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00232080/2020|EPI_ISL_535974|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00239412/2020|EPI_ISL_536251|2020-03-24
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00233681/2020|EPI_ISL_536032|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00235136/2020|EPI_ISL_536088|2020-03-24
1214,hCoV-19/Canada/QC-LSPQ-L00241965/2020|EPI_ISL_536300|2020-03-28
hCoV-19/Canada/QC-LSPQ-L00235136/2020|EPI_ISL_536088|2020-03-24,hCoV-19/Canada/QC-LSPQ-L00239249/2020|EPI_ISL_536240|2020-03-26
1275,hCoV-19/Canada/QC_AA3/2020|EPI_ISL_444495|2020-04-05
1006,hCoV-19/Canada/QC_AQ3/2020|EPI_ISL_476511|2020-04-03
1006,hCoV-19/Canada/QC_AU7/2020|EPI_ISL_463946|2020-04-03
1362,hCoV-19/Canada/QC_AS5/2020|EPI_ISL_476513|2020-04-05
989,hCoV-19/Canada/QC_AF1/2020|EPI_ISL_463909|2020-04-07
hCoV-19/Canada/QC_AY1/2020|EPI_ISL_463954|2020-04-12,hCoV-19/Canada/QC_AN9/2020|EPI_ISL_515222|2020-04-07
989,hCoV-19/Canada/QC_AY1/2020|EPI_ISL_463954|2020-04-12
hCoV-19/Canada/QC_AZ6/2020|EPI_ISL_515237|2020-04-14,hCoV-19/Canada/QC_AO7/2020|EPI_ISL_463922|2020-04-09
974,hCoV-19/Canada/QC_AZ6/2020|EPI_ISL_515237|2020-04-14
hCoV-19/Canada/Qc-L00240851/2020|EPI_ISL_465689|2020-03-27,hCoV-19/Canada/Qc-L00240846/2020|EPI_ISL_465688|2020-03-27
1055,hCoV-19/Canada/Qc-L00240851/2020|EPI_ISL_465689|2020-03-27
hCoV-19/Canada/QC_AM1/2020|EPI_ISL_476508|2020-04-09,hCoV-19/Canada/QC_AE4/2020|EPI_ISL_463905|2020-04-08
979,hCoV-19/Canada/QC_AM1/2020|EPI_ISL_476508|2020-04-09
1353,hCoV-19/Canada/QC_BC5/2020|EPI_ISL_463968|2020-04-09
hCoV-19/Canada/QC-LSPQ-L00233683/2020|EPI_ISL_536033|2020-03-23,hCoV-19/Canada/QC-LSPQ-L00232810/2020|EPI_ISL_535996|2020-03-23
hCoV-19/Canada/Qc-L00241168/2020|EPI_ISL_450311|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00233683/2020|EPI_ISL_536033|2020-03-23
hCoV-19/Canada/Qc-L00241168/2020|EPI_ISL_450311|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00239407/2020|EPI_ISL_536250|2020-03-24
1082,hCoV-19/Canada/Qc-L00241168/2020|EPI_ISL_450311|2020-03-27
1082,hCoV-19/Canada/QC-LSPQ-L00232925/2020|EPI_ISL_536001|2020-03-23
1082,hCoV-19/Canada/QC-LSPQ-L00232866/2020|EPI_ISL_535999|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00232866/2020|EPI_ISL_535999|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00233633/2020|EPI_ISL_536030|2020-03-23
1080,hCoV-19/Canada/QC-LSPQ-L00233721/2020|EPI_ISL_536037|2020-03-23
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00239391/2020|EPI_ISL_536246|2020-03-24
1276,hCoV-19/Canada/QC_AA4/2020|EPI_ISL_476498|2020-04-05
1276,hCoV-19/Canada/QC_AY6/2020|EPI_ISL_515235|2020-04-07
1303,hCoV-19/Canada/QC_AC9/2020|EPI_ISL_476499|2020-04-06
997,hCoV-19/Canada/QC_AE9/2020|EPI_ISL_463908|2020-04-06
995,hCoV-19/Canada/QC_AG4/2020|EPI_ISL_463913|2020-04-11
hCoV-19/Canada/QC_AG4/2020|EPI_ISL_463913|2020-04-11,hCoV-19/Canada/QC_BB9/2020|EPI_ISL_515244|2020-04-13
hCoV-19/Canada/QC_AU6/2020|EPI_ISL_515230|2020-04-05,hCoV-19/Canada/QC_AD7/2020|EPI_ISL_476501|2020-04-04
1041,hCoV-19/Canada/QC_AK6/2020|EPI_ISL_515209|2020-04-17
hCoV-19/Canada/QC_AD7/2020|EPI_ISL_476501|2020-04-04,hCoV-19/Canada/QC_AK9/2020|EPI_ISL_515210|2020-04-17
hCoV-19/Canada/QC_AK9/2020|EPI_ISL_515210|2020-04-17,hCoV-19/Canada/QC_AO3/2020|EPI_ISL_463920|2020-04-09
hCoV-19/Canada/QC-LSPQ-L00239391/2020|EPI_ISL_536246|2020-03-24,hCoV-19/Canada/QC_AU6/2020|EPI_ISL_515230|2020-04-05
hCoV-19/Canada/QC_AU6/2020|EPI_ISL_515230|2020-04-05,hCoV-19/Canada/QC_AQ5/2020|EPI_ISL_463929|2020-04-03
hCoV-19/Canada/QC_AQ5/2020|EPI_ISL_463929|2020-04-03,hCoV-19/Canada/QC_BA6/2020|EPI_ISL_463963|2020-04-13
hCoV-19/Canada/QC_AR6/2020|EPI_ISL_463933|2020-04-01,hCoV-19/Canada/QC_AF2/2020|EPI_ISL_463910|2020-04-05
1017,hCoV-19/Canada/QC_AR6/2020|EPI_ISL_463933|2020-04-01
hCoV-19/Canada/Qc-L00241208/2020|EPI_ISL_450314|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00243994/2020|EPI_ISL_536386|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00239391/2020|EPI_ISL_536246|2020-03-24,hCoV-19/Canada/Qc-L00241208/2020|EPI_ISL_450314|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/NB_35/2020|EPI_ISL_429816|2020-03-14
hCoV-19/Canada/QC_AX3/2020|EPI_ISL_515234|2020-04-09,hCoV-19/Canada/QC-AJ7/2020|EPI_ISL_450639|2020-04-11
1336,hCoV-19/Canada/QC_AX3/2020|EPI_ISL_515234|2020-04-09
hCoV-19/Canada/QC_AC4/2020|EPI_ISL_463903|2020-04-04,hCoV-19/Canada/QC_AI6/2020|EPI_ISL_476505|2020-04-08
hCoV-19/Canada/QC_AI6/2020|EPI_ISL_476505|2020-04-08,hCoV-19/Canada/QC_AI5/2020|EPI_ISL_463917|2020-04-09
hCoV-19/Canada/NB_35/2020|EPI_ISL_429816|2020-03-14,hCoV-19/Canada/QC_AC4/2020|EPI_ISL_463903|2020-04-04
hCoV-19/Canada/QC_AC4/2020|EPI_ISL_463903|2020-04-04,hCoV-19/Canada/QC-LSPQ-L00237080/2020|EPI_ISL_536159|2020-03-25
998,hCoV-19/Canada/QC_AT4/2020|EPI_ISL_515228|2020-04-04
1036,hCoV-19/Canada/QC-LSPQ-L00240414/2020|EPI_ISL_536270|2020-03-27
1313,hCoV-19/Canada/QC-LSPQ-L00241602/2020|EPI_ISL_536284|2020-03-28
1358,hCoV-19/Canada/QC_AH2/2020|EPI_ISL_463914|2020-04-13
1077,hCoV-19/Canada/QC_AG2/2020|EPI_ISL_515203|2020-04-11
hCoV-19/Canada/QC_AH2/2020|EPI_ISL_463914|2020-04-13,hCoV-19/Canada/QC_AY9/2020|EPI_ISL_463957|2020-04-11
hCoV-19/Canada/QC_AX6/2020|EPI_ISL_463953|2020-04-13,hCoV-19/Canada/QC_AL4/2020|EPI_ISL_515212|2020-04-18
hCoV-19/Canada/QC_AP4/2020|EPI_ISL_515224|2020-04-18,hCoV-19/Canada/QC_AX6/2020|EPI_ISL_463953|2020-04-13
975,hCoV-19/Canada/QC_AP4/2020|EPI_ISL_515224|2020-04-18
hCoV-19/Canada/QC-LSPQ-L00244068/2020|EPI_ISL_536388|2020-03-31,hCoV-19/Canada/NB_56/2020|EPI_ISL_482473|2020-03-15
hCoV-19/Canada/QC-LSPQ-L00244068/2020|EPI_ISL_536388|2020-03-31,hCoV-19/Canada/ON-OICR-SLB2844/2020|EPI_ISL_538365|2020-04-03
1009,hCoV-19/Canada/QC_AG3/2020|EPI_ISL_476502|2020-04-08
hCoV-19/Canada/QC_AG3/2020|EPI_ISL_476502|2020-04-08,hCoV-19/Canada/QC_AZ9/2020|EPI_ISL_463961|2020-04-14
987,hCoV-19/Canada/QC_AM8/2020|EPI_ISL_515216|2020-04-09
987,hCoV-19/Canada/QC_BB3/2020|EPI_ISL_515241|2020-04-14
hCoV-19/Canada/QC_BB3/2020|EPI_ISL_515241|2020-04-14,hCoV-19/Canada/QC_BB6/2020|EPI_ISL_515243|2020-04-11
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00244068/2020|EPI_ISL_536388|2020-03-31
1069,hCoV-19/Canada/QC-LSPQ-L00239134/2020|EPI_ISL_536234|2020-03-26
1069,hCoV-19/Canada/QC-LSPQ-L00243608/2020|EPI_ISL_536367|2020-03-30
hCoV-19/Canada/QC-LSPQ-L00243608/2020|EPI_ISL_536367|2020-03-30,hCoV-19/Canada/QC_AU9/2020|EPI_ISL_463948|2020-04-06
985,hCoV-19/Canada/QC_AT6/2020|EPI_ISL_463941|2020-04-06
hCoV-19/Canada/QC-LSPQ-L00238862/2020|EPI_ISL_536224|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00231966/2020|EPI_ISL_535967|2020-03-22
hCoV-19/Canada/QC-LSPQ-L00231966/2020|EPI_ISL_535967|2020-03-22,hCoV-19/Canada/QC-LSPQ-L00238722/2020|EPI_ISL_536215|2020-03-26
hCoV-19/Canada/QC-LSPQ-L00238722/2020|EPI_ISL_536215|2020-03-26,hCoV-19/Canada/QC-LSPQ-L00238725/2020|EPI_ISL_536216|2020-03-26
hCoV-19/Canada/Qc-L00240685/2020|EPI_ISL_450305|2020-03-27,hCoV-19/Canada/QC-LSPQ-L00244197/2020|EPI_ISL_536391|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00231966/2020|EPI_ISL_535967|2020-03-22,hCoV-19/Canada/Qc-L00240685/2020|EPI_ISL_450305|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00237419/2020|EPI_ISL_536180|2020-03-25,hCoV-19/Canada/QC-LSPQ-L00238862/2020|EPI_ISL_536224|2020-03-26
1001,hCoV-19/Canada/QC_AQ6/2020|EPI_ISL_463930|2020-04-02
hCoV-19/Canada/QC-LSPQ-L00244359/2020|EPI_ISL_536397|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00237841/2020|EPI_ISL_536195|2020-03-25
hCoV-19/Canada/QC-LSPQ-L00244359/2020|EPI_ISL_536397|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00237878/2020|EPI_ISL_536196|2020-03-25
1150,hCoV-19/Canada/QC-LSPQ-L00244359/2020|EPI_ISL_536397|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00237419/2020|EPI_ISL_536180|2020-03-25
hCoV-19/Canada/QC_AT3/2020|EPI_ISL_463940|2020-03-31,hCoV-19/Canada/QC-LSPQ-L00238797/2020|EPI_ISL_536219|2020-03-26
hCoV-19/Canada/QC-LSPQ-L00237419/2020|EPI_ISL_536180|2020-03-25,hCoV-19/Canada/QC_AT3/2020|EPI_ISL_463940|2020-03-31
1431,hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC_AA1/2020|EPI_ISL_515197|2020-04-05
1120,hCoV-19/Canada/QC_AQ8/2020|EPI_ISL_515225|2020-04-06
1012,hCoV-19/Canada/QC_BB7/2020|EPI_ISL_463965|2020-04-13
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC_AJ8/2020|EPI_ISL_476506|2020-04-08
hCoV-19/Canada/QC_AJ8/2020|EPI_ISL_476506|2020-04-08,hCoV-19/Canada/QC_AW7/2020|EPI_ISL_515233|2020-04-13
hCoV-19/Canada/QC_AJ8/2020|EPI_ISL_476506|2020-04-08,hCoV-19/Canada/QC_AL3/2020|EPI_ISL_515211|2020-04-07
hCoV-19/Canada/QC_AP8/2020|EPI_ISL_476510|2020-04-07,hCoV-19/Canada/QC_AK1/2020|EPI_ISL_476507|2020-04-11
hCoV-19/Canada/QC_AM4/2020|EPI_ISL_515214|2020-04-09,hCoV-19/Canada/QC_AP8/2020|EPI_ISL_476510|2020-04-07
1392,hCoV-19/Canada/QC_AM4/2020|EPI_ISL_515214|2020-04-09
hCoV-19/Canada/QC_BC6/2020|EPI_ISL_515245|2020-04-11,hCoV-19/Canada/QC_AQ4/2020|EPI_ISL_463928|2020-04-01
1083,hCoV-19/Canada/QC_AO9/2020|EPI_ISL_463923|2020-04-09
hCoV-19/Canada/QC_BC6/2020|EPI_ISL_515245|2020-04-11,hCoV-19/Canada/QC_AU3/2020|EPI_ISL_515229|2020-04-05
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/QC_BC6/2020|EPI_ISL_515245|2020-04-11
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/Qc-L00240556/2020|EPI_ISL_450302|2020-03-27
hCoV-19/Canada/QC-LSPQ-L00243797/2020|EPI_ISL_536379|2020-03-31,hCoV-19/Canada/NB_6/2020|EPI_ISL_418811|2020-03-12
1094,hCoV-19/Canada/QC-LSPQ-L00230315/2020|EPI_ISL_535914|2020-03-21
1190,hCoV-19/Canada/QC-LSPQ-L00232917/2020|EPI_ISL_536000|2020-03-23
hCoV-19/Canada/QC_AS4/2020|EPI_ISL_463936|2020-04-02,hCoV-19/Canada/QC_AR3/2020|EPI_ISL_463931|2020-04-04
1190,hCoV-19/Canada/QC_AS4/2020|EPI_ISL_463936|2020-04-02
1074,hCoV-19/Canada/QC-LSPQ-L00239865/2020|EPI_ISL_536257|2020-03-26
1074,hCoV-19/Canada/Qc-L00241251/2020|EPI_ISL_465701|2020-03-27
1113,hCoV-19/Canada/Qc-L00241205/2020|EPI_ISL_450313|2020-03-27
hCoV-19/Canada/NB_6/2020|EPI_ISL_418811|2020-03-12,hCoV-19/Canada/QC-LSPQ-L00235815/2020|EPI_ISL_536110|2020-03-24
1024,hCoV-19/Canada/QC-LSPQ-L00241782/2020|EPI_ISL_536290|2020-03-28
